127.0.0.1, 2021-05-26 09:49:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.763072
127.0.0.1, 2021-05-26 09:49:31, POST, /admin/default/site, HTTP/1.1, 303, 0.146999
127.0.0.1, 2021-05-26 09:49:32, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.520000
127.0.0.1, 2021-05-26 09:49:32, GET, /admin/static/_2.21.1/images/help.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2021-05-26 09:49:32, GET, /admin/static/_2.21.1/images/search.png, HTTP/1.1, 200, 0.014002
127.0.0.1, 2021-05-26 09:49:32, GET, /admin/static/_2.21.1/images/delete_icon.png, HTTP/1.1, 200, 0.012001
127.0.0.1, 2021-05-26 09:49:32, GET, /admin/static/_2.21.1/images/test_icon.png, HTTP/1.1, 200, 0.012001
127.0.0.1, 2021-05-26 09:49:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2021-05-26 09:53:00, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 0.153721
127.0.0.1, 2021-05-26 09:53:18, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 0.022000
127.0.0.1, 2021-05-26 09:53:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:26:38, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-05-26 10:26:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:26:40, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 1.017980
127.0.0.1, 2021-05-26 10:27:29, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.053383
127.0.0.1, 2021-05-26 10:30:28, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.062500
127.0.0.1, 2021-05-26 10:31:17, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2021-05-26 10:31:17, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.037775
127.0.0.1, 2021-05-26 10:32:23, GET, /admin/default/peek/movies/controllers/default.py, HTTP/1.1, 200, 0.059996
127.0.0.1, 2021-05-26 10:32:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:32:55, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.084002
127.0.0.1, 2021-05-26 10:32:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:33:10, GET, /movies/default/index, HTTP/1.1, 404, 0.015002
127.0.0.1, 2021-05-26 10:33:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2021-05-26 10:33:16, GET, /admin/default/site, HTTP/1.1, 200, 0.031039
127.0.0.1, 2021-05-26 10:33:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:33:17, GET, /admin/default/index, HTTP/1.1, 303, 0.010991
127.0.0.1, 2021-05-26 10:33:17, GET, /admin/default/site, HTTP/1.1, 200, 0.027997
127.0.0.1, 2021-05-26 10:33:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
